id,name,river,latitude,longitude,country
014501,Stung Treng,Mekong,13.545,106.017,Cambodia
014901,Kratie,Mekong,12.24,105.987,Cambodia
019801,Chroy Chang Var,Mekong,11.58,104.939,Cambodia
019802,Kompong Cham,Mekong,11.909,105.388,Cambodia
019806,Neak Luong,Mekong,11.261,105.284,Cambodia
019901,Stung Slot,,11.325,105.284,Cambodia
019910,Prek Koy,Prek Koy,11.838,104.988,Cambodia
019911,Spean Tras,Prek Koy,11.901,104.936,Cambodia
020101,Phnom Penh Port,Tonle Sap,11.575,104.923,Cambodia
020102,Prek Kdam,Tonle Sap,11.813,104.804,Cambodia
020103,Kg. Chhnang,Tonle Sap,12.251,104.686,Cambodia
020106,Kg. Luong,Tonle Sap,12.575,104.215,Cambodia
020108,Snoc Trou,Tonle Sap,12.521,104.445,Cambodia
033401,Bassac Chaktomouk,Bassac,11.552,104.933,Cambodia
033402,Koh Khel,Bassac,11.24,105.04,Cambodia
100001,Tuk Chhoo,Kamchay,10.683,104.13,Cambodia
110409,Takhmao,Bassac,11.482,104.949,Cambodia
201107,Bac Prea,Tri. Grate lake,13.309,103.399,Cambodia
430101,Ban Khmoun,Sekong,13.741,106.187,Cambodia
430102,Siempang,Sekong,14.119,106.394,Cambodia
430103,Chantangoy,Sekong,13.564,106.057,Cambodia
440101,Ban Kamphun,Sesan,13.534,106.046,Cambodia
440102,Voeun Sai,Sesan,13.968,106.814,Cambodia
440103,Andaung Meas,Sesan,14.047,107.107,Cambodia
450101,Lumphat,Sre Pork,13.548,106.529,Cambodia
520101,Mong Kolborey,Mongkol Borey,13.504,103.019,Cambodia
530101,Sisophon,Sisophon,13.614,102.998,Cambodia
540101,Kralanh,Stung Sreng,13.544,103.543,Cambodia
550101,Treng,Stung Sangker,12.869,103.139,Cambodia
550102,Battambang,Stung Sangker,13.056,103.199,Cambodia
550103,Sre Ponleu,Stung Sangker,12.731,102.78,Cambodia
551101,Mong Russey,St. Dauntry,12.853,103.44,Cambodia
560101,Bot Chhvear/Untac Bridge,Siem Reap,13.344,103.996,Cambodia
560102,Prasat Keo,Great Lake,13.456,103.971,Cambodia
570101,Kompong Kdei,St. Chikreng,13.127,104.339,Cambodia
580101,Pursat,Stung Pursat,12.663,104.054,Cambodia
580102,Taing Leach,Stung Pursat,12.283,103.613,Cambodia
580103,Bac Trakoun,Pursat,12.354,103.752,Cambodia
580104,Khum Viel,Stung Pursat,12.179,103.743,Cambodia
580105,Lo Lok Sar,,12.191,103.789,Cambodia
580106,Phum Kos,Pursat,12.225,103.807,Cambodia
580110,Kbal hong(up),Pursat,12.681,104.08,Cambodia
580120,Kbal hong(down),Stung Pursat,12.637,104.029,Cambodia
580201,Peam,Pursat,12.15,103.7,Cambodia
580301,Prey Klong(down),Stung Pursat,12.111,103.914,Cambodia
580302,Prey Klong(up),Stung Santre,12.504,103.214,Cambodia
580310,Sanlong(up),Pursat,12.758,103.813,Cambodia
580320,Sanlong(down),Pursat,12.714,103.816,Cambodia
580330,Svay At,Pursat,12.675,103.816,Cambodia
581101,Campang,St. Dauntry,12.186,102.879,Cambodia
581102,Svay Don Keo,Pursat,12.77,102.879,Cambodia
581210,Kroch seuch (up),St. Dauntry,12.77,103.445,Cambodia
581220,Kroch seuch (down),St. Dauntry,12.729,103.937,Cambodia
581310,Wat Liep(down),Pursat,12.603,102.991,Cambodia
581410,Wat Liep(up),Pursat,12.655,102.991,Cambodia
583010,Tlea Maam (1),Pursat,12.096,102.876,Cambodia
583020,Thlea Maam(up),Pursat,12.703,102.989,Cambodia
583101,Banteay Krang,St. Krakor,12.966,103.543,Cambodia
590101,Boribo,Stung Boribo,12.348,104.38,Cambodia
600101,Kompong Chen,Stung Staung,12.937,104.583,Cambodia
610101,Kg. Thom,Stung Sen,12.708,104.873,Cambodia
610102,Kompong  Putrea,Stung Sen,13.217,105.264,Cambodia
610103,Panha Chi,Stung Sen,12.717,104.972,Cambodia
620101,Kg. Thmar,Stung Chinit,12.501,105.131,Cambodia
640101,Anlong Touk,St. Prek Thnot,11.436,104.443,Cambodia
640102,Thnous Loung/Kg. Speu,St. Prek Thnot,11.456,104.51,Cambodia
640103,PeamKhley-dam site,St. Prek Thnot,11.47,104.369,Cambodia
640104,Srok Sandan,,12.858,105.081,Cambodia
650101,Svay Rieng,,11.137,105.804,Cambodia
660101,Kompong Trabek,,11.271,105.342,Cambodia
670101,Stung Banam,St. Banam,11.408,105.304,Cambodia
680101,Kompong Ampil,Stung Takeo,11.076,104.631,Cambodia
010402,Xieng Kok,Mekong,20.897,100.642,Lao PDR
010802,Ban Houi Sai,Mekong,20.282,100.405,Lao PDR
010901,Pak Beng,Mekong,19.858,101.115,Lao PDR
011201,Luang Prabang,Mekong,19.892,102.137,Lao PDR
011304,Ban Pakkhone,Mekong,19.43,101.855,Lao PDR
011401,Paklay,Mekong,18.208,101.413,Lao PDR
011901,Vien Tiane,Mekong,17.928,102.62,Lao PDR
012703,Paksane,Mekong,18.372,103.667,Lao PDR
013102,Thakhek,Mekong,17.393,104.807,Lao PDR
013301,Keng Kabao,Mekong,16.813,104.75,Lao PDR
013302,Ban Savang,Mekong,,,Lao PDR
013401,Savannakhet,Mekong,16.562,104.747,Lao PDR
013503,Paktaphane,Mekong,15.933,105.35,Lao PDR
013901,Pakse,Mekong,15.117,105.8,Lao PDR
014101,Ban Mouang,Mekong,14.938,105.912,Lao PDR
014301,Ban Chan Noi,Mekong,14.317,105.887,Lao PDR
014302,Ban Hat SaiKhoune,Mekong,14.092,105.858,Lao PDR
014304,Veunkham,Mekong,13.98,105.905,Lao PDR
080101,Muong Nam Tha,Nam Tha,21.017,101.413,Lao PDR
080102,Ban Hat Kham,Nam Tha,20.162,100.712,Lao PDR
080103,Ban Hong Leuay,Nam Tha,21.05,101.418,Lao PDR
100101,Ban Hat Kham,Nam Ou,,,Lao PDR
100102,Muong Ngoy,Nam Ou,20.702,102.758,Lao PDR
100103,Ban Hatsa,Nam Ou,21.739,102.032,Lao PDR
100104,B.Fay,Nam Ou,20.242,102.355,Lao PDR
110101,Ban Sibounhom,Nam Suong,19.97,102.273,Lao PDR
110201,Ban Kok Van,Nam Pa,19.953,102.298,Lao PDR
120101,Ban Mixay (Ban Mout),Nam Khan,19.787,102.177,Lao PDR
120102,Ban Pak Bak (downstream),Nam Khan,19.743,102.28,Lao PDR
210301,Ban Phone Kheng,Hong Xeng,,,Lao PDR
210401,Ban Houa Khoua,Hong Houa Khoua,,,Lao PDR
