,identifier,station_code,station_name,parameter,date,value,river,lat,lon,unit,country_code,country,interval,utc_offset,med_frq
0,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-01-07 17:00:00+00:00,3900.43,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
1,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-01-21 17:00:00+00:00,2843.54,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
2,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-02-11 17:00:00+00:00,2670.58,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
3,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-02-25 17:00:00+00:00,2646.02,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
4,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-03-11 17:00:00+00:00,2614.05,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
5,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-03-25 17:00:00+00:00,2038.17,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
6,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-04-08 17:00:00+00:00,2175.48,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
7,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-04-22 17:00:00+00:00,3059.56,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
8,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-05-06 17:00:00+00:00,2563.99,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
9,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-05-13 17:00:00+00:00,3052.21,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
10,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-05-20 17:00:00+00:00,3438.71,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
11,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-05-27 17:00:00+00:00,5657.04,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
12,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-06-03 17:00:00+00:00,6825.26,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
13,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-06-10 17:00:00+00:00,7272.98,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
14,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-06-17 17:00:00+00:00,8838.37,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
15,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-06-24 17:00:00+00:00,9621.34,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
16,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-07-08 17:00:00+00:00,18273.87,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
17,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-07-15 17:00:00+00:00,21056.68,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
18,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-07-22 17:00:00+00:00,24509.79,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
19,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-07-29 17:00:00+00:00,19758.0,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
20,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-08-05 17:00:00+00:00,24216.93,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
21,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-08-12 17:00:00+00:00,30295.7,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
22,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-08-19 17:00:00+00:00,24456.89,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
23,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-08-26 17:00:00+00:00,17308.35,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
24,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-09-02 17:00:00+00:00,18061.18,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
25,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-09-09 17:00:00+00:00,17509.08,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
26,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-09-16 17:00:00+00:00,16330.73,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
27,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-09-23 17:00:00+00:00,15724.7,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
28,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-10-07 17:00:00+00:00,16399.93,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
29,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-10-14 17:00:00+00:00,9490.55,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
30,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-10-21 17:00:00+00:00,8908.6,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
31,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-10-28 17:00:00+00:00,7734.54,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
32,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-11-04 17:00:00+00:00,5722.69,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
33,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-11-11 17:00:00+00:00,5691.34,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
34,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-11-18 17:00:00+00:00,5214.69,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
35,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-11-25 17:00:00+00:00,3406.18,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
36,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-12-02 17:00:00+00:00,3117.94,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
37,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-12-10 17:00:00+00:00,2629.71,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
38,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2009-12-16 17:00:00+00:00,2749.31,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
39,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-01-13 17:00:00+00:00,2252.9,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
40,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-01-27 17:00:00+00:00,2486.37,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
41,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-02-03 17:00:00+00:00,2593.09,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
42,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-02-17 17:00:00+00:00,1529.15,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
43,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-03-10 17:00:00+00:00,1121.59,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
44,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-03-24 17:00:00+00:00,2050.96,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
45,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-04-07 17:00:00+00:00,2252.9,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
46,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-04-21 17:00:00+00:00,2218.01,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
47,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-04-26 17:00:00+00:00,2171.45,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
48,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-04-29 17:00:00+00:00,2269.94,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
49,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-05-05 17:00:00+00:00,2197.38,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
50,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-05-11 17:00:00+00:00,2491.12,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
51,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-05-17 17:00:00+00:00,2355.15,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
52,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-05-19 17:00:00+00:00,2215.64,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
53,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-05-25 17:00:00+00:00,2685.15,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
54,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-05-30 17:00:00+00:00,2907.41,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
55,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-06-02 17:00:00+00:00,3254.85,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
56,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-06-09 17:00:00+00:00,4155.48,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
57,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-06-13 17:00:00+00:00,5452.96,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
58,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-06-23 17:00:00+00:00,3653.14,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
59,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-07-07 17:00:00+00:00,6307.24,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
60,Discharge.Measured DSMP@TH_013801_[Khong Chiam],013801,Khong Chiam,Discharge,2010-07-14 17:00:00+00:00,5832.65,Mekong,15.3220901489258,105.493476867676,m^3/s,TH,Thailand,Unknown,7,7 days
