,identifier,station_code,station_name,parameter,date,value,river,lat,lon,unit,country_code,country,interval,utc_offset,med_frq
0,Sediment Concentration.Measured@LA_013901_[Pakse],013901,Pakse,Sediment Concentration,1962-01-03 00:00:00+00:00,52.0,Mekong,15.099760055542,105.813186645508,ppm,LA,Lao PDR,4 times p/month,7,9 days 12:00:00
1,Sediment Concentration.Measured@LA_013901_[Pakse],013901,Pakse,Sediment Concentration,1962-01-05 00:00:00+00:00,11.0,Mekong,15.099760055542,105.813186645508,ppm,LA,Lao PDR,4 times p/month,7,9 days 12:00:00
2,Sediment Concentration.Measured@LA_013901_[Pakse],013901,Pakse,Sediment Concentration,1962-01-10 00:00:00+00:00,9.0,Mekong,15.099760055542,105.813186645508,ppm,LA,Lao PDR,4 times p/month,7,9 days 12:00:00
3,Sediment Concentration.Measured@LA_013901_[Pakse],013901,Pakse,Sediment Concentration,1962-01-12 00:00:00+00:00,32.3,Mekong,15.099760055542,105.813186645508,ppm,LA,Lao PDR,4 times p/month,7,9 days 12:00:00
4,Sediment Concentration.Measured@LA_013901_[Pakse],013901,Pakse,Sediment Concentration,1962-01-15 00:00:00+00:00,30.0,Mekong,15.099760055542,105.813186645508,ppm,LA,Lao PDR,4 times p/month,7,9 days 12:00:00
5,Sediment Concentration.Measured@LA_013901_[Pakse],013901,Pakse,Sediment Concentration,1962-01-18 00:00:00+00:00,21.0,Mekong,15.099760055542,105.813186645508,ppm,LA,Lao PDR,4 times p/month,7,9 days 12:00:00
6,Sediment Concentration.Measured@LA_013901_[Pakse],013901,Pakse,Sediment Concentration,1962-01-22 00:00:00+00:00,50.6,Mekong,15.099760055542,105.813186645508,ppm,LA,Lao PDR,4 times p/month,7,9 days 12:00:00
7,Sediment Concentration.Measured@LA_013901_[Pakse],013901,Pakse,Sediment Concentration,1962-01-26 00:00:00+00:00,46.0,Mekong,15.099760055542,105.813186645508,ppm,LA,Lao PDR,4 times p/month,7,9 days 12:00:00
8,Sediment Concentration.Measured@LA_013901_[Pakse],013901,Pakse,Sediment Concentration,1962-01-29 00:00:00+00:00,58.0,Mekong,15.099760055542,105.813186645508,ppm,LA,Lao PDR,4 times p/month,7,9 days 12:00:00
9,Sediment Concentration.Measured@LA_013901_[Pakse],013901,Pakse,Sediment Concentration,1962-02-01 00:00:00+00:00,8.0,Mekong,15.099760055542,105.813186645508,ppm,LA,Lao PDR,4 times p/month,7,9 days 12:00:00
10,Sediment Concentration.Measured@LA_013901_[Pakse],013901,Pakse,Sediment Concentration,1962-02-05 00:00:00+00:00,7.0,Mekong,15.099760055542,105.813186645508,ppm,LA,Lao PDR,4 times p/month,7,9 days 12:00:00
11,Sediment Concentration.Measured@LA_013901_[Pakse],013901,Pakse,Sediment Concentration,1962-02-08 00:00:00+00:00,14.0,Mekong,15.099760055542,105.813186645508,ppm,LA,Lao PDR,4 times p/month,7,9 days 12:00:00
12,Sediment Concentration.Measured@LA_013901_[Pakse],013901,Pakse,Sediment Concentration,1962-02-12 00:00:00+00:00,24.0,Mekong,15.099760055542,105.813186645508,ppm,LA,Lao PDR,4 times p/month,7,9 days 12:00:00
13,Sediment Concentration.Measured@LA_013901_[Pakse],013901,Pakse,Sediment Concentration,1962-02-15 00:00:00+00:00,56.0,Mekong,15.099760055542,105.813186645508,ppm,LA,Lao PDR,4 times p/month,7,9 days 12:00:00
14,Sediment Concentration.Measured@LA_013901_[Pakse],013901,Pakse,Sediment Concentration,1962-02-20 00:00:00+00:00,8.0,Mekong,15.099760055542,105.813186645508,ppm,LA,Lao PDR,4 times p/month,7,9 days 12:00:00
15,Sediment Concentration.Measured@LA_013901_[Pakse],013901,Pakse,Sediment Concentration,1962-02-23 00:00:00+00:00,4.0,Mekong,15.099760055542,105.813186645508,ppm,LA,Lao PDR,4 times p/month,7,9 days 12:00:00
