,identifier,station_code,station_name,parameter,date,value,river,lat,lon,unit,country_code,country,interval,utc_offset,med_frq
0,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-06-30 17:00:00+00:00,45.7,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
1,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-01 17:00:00+00:00,48.8,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
2,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-02 17:00:00+00:00,52.3,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
3,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-03 17:00:00+00:00,53.6,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
4,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-04 17:00:00+00:00,59.2,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
5,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-05 17:00:00+00:00,65.8,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
6,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-06 17:00:00+00:00,97.4,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
7,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-07 17:00:00+00:00,110.0,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
8,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-08 17:00:00+00:00,200.0,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
9,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-09 17:00:00+00:00,212.0,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
10,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-10 17:00:00+00:00,131.0,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
11,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-11 17:00:00+00:00,58.8,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
12,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-12 17:00:00+00:00,132.0,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
13,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-13 17:00:00+00:00,273.0,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
14,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-14 17:00:00+00:00,256.0,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
15,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-15 17:00:00+00:00,276.0,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
16,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-16 17:00:00+00:00,260.0,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
17,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-17 17:00:00+00:00,230.0,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
18,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-18 17:00:00+00:00,372.0,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
19,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-19 17:00:00+00:00,257.0,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
20,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-21 17:00:00+00:00,385.0,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
21,Sediment Concentration.Measured DSMP@VN_019803_[Tan Chau],019803,Tan Chau,Sediment Concentration,2009-07-22 17:00:00+00:00,245.0,Mekong,10.8006200790405,105.248016357422,mg/l,VN,Viet Nam,Unknown,7,1 days
