,identifier,station_code,station_name,parameter,date,value,river,lat,lon,unit,country_code,country,interval,utc_offset,med_frq
0,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-06-03 17:00:00+00:00,36.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
1,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-06-19 17:00:00+00:00,192.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
2,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-07-09 17:00:00+00:00,325.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
3,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-07-14 17:00:00+00:00,203.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
4,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-07-20 17:00:00+00:00,223.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
5,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-07-27 17:00:00+00:00,296.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
6,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-08-04 17:00:00+00:00,338.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
7,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-08-13 17:00:00+00:00,436.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
8,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-08-19 17:00:00+00:00,360.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
9,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-08-26 17:00:00+00:00,332.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
10,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-09-01 17:00:00+00:00,155.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
11,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-09-08 17:00:00+00:00,276.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
12,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-09-15 17:00:00+00:00,119.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
13,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-09-24 17:00:00+00:00,356.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
14,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-09-30 17:00:00+00:00,167.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
15,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-10-07 17:00:00+00:00,130.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
16,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-10-17 17:00:00+00:00,142.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
17,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-10-25 17:00:00+00:00,139.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
18,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-11-06 17:00:00+00:00,70.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
19,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-11-22 17:00:00+00:00,68.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
20,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2011-12-07 17:00:00+00:00,41.0,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
21,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2012-08-11 17:00:00+00:00,320.6992219024034,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
22,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2012-08-17 17:00:00+00:00,236.5307398243678,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
23,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2012-08-23 17:00:00+00:00,221.9001095122723,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
24,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2012-08-29 17:00:00+00:00,202.4856492003416,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
25,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2012-09-05 17:00:00+00:00,401.57820531658473,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
26,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2012-09-12 17:00:00+00:00,215.17789498787585,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
27,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2012-09-19 17:00:00+00:00,149.58888844942987,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
28,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2012-09-25 17:00:00+00:00,161.48914326793937,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
29,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2012-10-03 17:00:00+00:00,133.17745265458876,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
30,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2012-10-09 17:00:00+00:00,122.25375833661246,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
31,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2012-10-19 17:00:00+00:00,117.80874228862233,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
32,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2012-10-26 17:00:00+00:00,110.1760316780188,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
33,Sediment Concentration.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Sediment Concentration,2012-11-06 17:00:00+00:00,48.6298747002654,Mekong,11.5388,104.972,mg/l,KH,Cambodia,Unknown,7,9 days
