,identifier,station_code,station_name,parameter,date,value,river,lat,lon,unit,country_code,country,interval,utc_offset,med_frq
0,Discharge.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Discharge,2011-06-01 17:00:00+00:00,778.34,Bassac,11.5631,104.9347,m^3/s,KH,Cambodia,Unknown,7,9 days
1,Discharge.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Discharge,2011-06-19 17:00:00+00:00,778.34,Bassac,11.5631,104.9347,m^3/s,KH,Cambodia,Unknown,7,9 days
2,Discharge.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Discharge,2011-07-09 17:00:00+00:00,1853.4,Bassac,11.5631,104.9347,m^3/s,KH,Cambodia,Unknown,7,9 days
3,Discharge.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Discharge,2011-07-14 17:00:00+00:00,1778.03,Bassac,11.5631,104.9347,m^3/s,KH,Cambodia,Unknown,7,9 days
4,Discharge.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Discharge,2011-07-20 17:00:00+00:00,2105.72,Bassac,11.5631,104.9347,m^3/s,KH,Cambodia,Unknown,7,9 days
5,Discharge.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Discharge,2011-07-27 17:00:00+00:00,2809.67,Bassac,11.5631,104.9347,m^3/s,KH,Cambodia,Unknown,7,9 days
6,Discharge.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Discharge,2011-08-04 17:00:00+00:00,3350.55,Bassac,11.5631,104.9347,m^3/s,KH,Cambodia,Unknown,7,9 days
7,Discharge.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Discharge,2011-08-13 17:00:00+00:00,4545.87,Bassac,11.5631,104.9347,m^3/s,KH,Cambodia,Unknown,7,9 days
8,Discharge.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Discharge,2011-08-19 17:00:00+00:00,4638.92,Bassac,11.5631,104.9347,m^3/s,KH,Cambodia,Unknown,7,9 days
9,Discharge.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Discharge,2011-08-26 17:00:00+00:00,4478.02,Bassac,11.5631,104.9347,m^3/s,KH,Cambodia,Unknown,7,9 days
