,identifier,station_code,station_name,parameter,date,value,river,lat,lon,unit,country_code,country,interval,utc_offset,med_frq
0,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2012-08-10 17:00:00+00:00,312.4941293030274,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
1,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2012-08-16 17:00:00+00:00,97.85096763775788,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
2,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2012-08-22 17:00:00+00:00,52.31234164305256,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
3,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2012-08-29 17:00:00+00:00,109.29810317752936,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
4,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2012-08-31 17:00:00+00:00,70.04217691575082,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
5,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2012-09-12 17:00:00+00:00,111.79542033317288,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
6,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2012-09-19 17:00:00+00:00,147.24323870180328,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
7,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2012-09-28 17:00:00+00:00,132.44622608955035,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
8,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2012-10-09 17:00:00+00:00,169.32698054961708,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
9,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2012-10-20 17:00:00+00:00,39.16159538694621,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
10,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2012-10-24 17:00:00+00:00,30.851780292940315,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
11,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2012-10-28 17:00:00+00:00,29.487156411978468,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
12,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2012-11-06 17:00:00+00:00,31.66956474039189,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
13,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2012-11-20 17:00:00+00:00,27.38576306916976,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
14,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2012-12-09 17:00:00+00:00,20.580800938742197,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
15,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2012-12-22 17:00:00+00:00,10.411423137225071,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
16,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2013-01-09 17:00:00+00:00,12.498750319303856,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
17,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2013-01-19 17:00:00+00:00,12.212234488177016,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
18,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2013-02-07 17:00:00+00:00,8.220732167977316,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
19,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2013-02-20 17:00:00+00:00,6.997773633686191,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
20,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2013-03-05 17:00:00+00:00,12.89985294312703,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
21,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2013-03-20 17:00:00+00:00,8.13363447274609,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
22,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2013-04-09 17:00:00+00:00,15.689165405722596,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
23,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2013-04-23 17:00:00+00:00,4.1472962656025,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
24,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2013-05-09 17:00:00+00:00,22.78483090296729,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
25,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2013-05-22 17:00:00+00:00,64.77051756264781,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
26,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2013-06-05 17:00:00+00:00,183.51609993313792,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
27,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2013-06-21 17:00:00+00:00,122.54456729907744,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
28,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2013-07-02 17:00:00+00:00,136.99423219877718,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
29,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2013-07-11 17:00:00+00:00,157.51157148927626,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
30,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2013-07-17 17:00:00+00:00,92.6657333446854,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
31,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2013-07-20 17:00:00+00:00,168.4834187946137,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
32,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2014-04-07 17:00:00+00:00,11.293810667123024,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
33,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2014-04-20 17:00:00+00:00,17.88689579471577,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
34,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2014-05-07 17:00:00+00:00,34.071280898948125,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
35,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2014-05-21 17:00:00+00:00,39.37830910905243,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
36,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2014-06-04 17:00:00+00:00,42.76363839114568,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
37,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2014-06-11 17:00:00+00:00,123.06307855484242,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
38,Sediment Concentration.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Sediment Concentration,2014-06-16 17:00:00+00:00,148.89798212490143,Sekong,13.5318,105.9719,mg/l,KH,Cambodia,Unknown,7,9 days 12:00:00
