,identifier,station_code,station_name,parameter,date,value,river,lat,lon,unit,country_code,country,interval,utc_offset,med_frq
0,Discharge.Measured DSMP@KH_020102_[Prek Kdam],020102,Prek Kdam,Discharge,2011-06-03 17:00:00+00:00,807.53,Tonlesap,11.8111696243286,104.806777954102,m^3/s,KH,Cambodia,Unknown,7,9 days
1,Discharge.Measured DSMP@KH_020102_[Prek Kdam],020102,Prek Kdam,Discharge,2011-06-19 17:00:00+00:00,1218.5,Tonlesap,11.8111696243286,104.806777954102,m^3/s,KH,Cambodia,Unknown,7,9 days
2,Discharge.Measured DSMP@KH_020102_[Prek Kdam],020102,Prek Kdam,Discharge,2011-07-09 17:00:00+00:00,4733.82,Tonlesap,11.8111696243286,104.806777954102,m^3/s,KH,Cambodia,Unknown,7,9 days
3,Discharge.Measured DSMP@KH_020102_[Prek Kdam],020102,Prek Kdam,Discharge,2011-07-14 17:00:00+00:00,3956.86,Tonlesap,11.8111696243286,104.806777954102,m^3/s,KH,Cambodia,Unknown,7,9 days
4,Discharge.Measured DSMP@KH_020102_[Prek Kdam],020102,Prek Kdam,Discharge,2011-07-20 17:00:00+00:00,4473.76,Tonlesap,11.8111696243286,104.806777954102,m^3/s,KH,Cambodia,Unknown,7,9 days
5,Discharge.Measured DSMP@KH_020102_[Prek Kdam],020102,Prek Kdam,Discharge,2011-07-27 17:00:00+00:00,6190.28,Tonlesap,11.8111696243286,104.806777954102,m^3/s,KH,Cambodia,Unknown,7,9 days
6,Discharge.Measured DSMP@KH_020102_[Prek Kdam],020102,Prek Kdam,Discharge,2011-08-04 17:00:00+00:00,7045.28,Tonlesap,11.8111696243286,104.806777954102,m^3/s,KH,Cambodia,Unknown,7,9 days
7,Discharge.Measured DSMP@KH_020102_[Prek Kdam],020102,Prek Kdam,Discharge,2011-08-13 17:00:00+00:00,9425.17,Tonlesap,11.8111696243286,104.806777954102,m^3/s,KH,Cambodia,Unknown,7,9 days
8,Discharge.Measured DSMP@KH_020102_[Prek Kdam],020102,Prek Kdam,Discharge,2011-08-19 17:00:00+00:00,8438.02,Tonlesap,11.8111696243286,104.806777954102,m^3/s,KH,Cambodia,Unknown,7,9 days
9,Discharge.Measured DSMP@KH_020102_[Prek Kdam],020102,Prek Kdam,Discharge,2011-08-26 17:00:00+00:00,6866.24,Tonlesap,11.8111696243286,104.806777954102,m^3/s,KH,Cambodia,Unknown,7,9 days
