,identifier,station_code,station_name,parameter,date,value,river,lat,lon,unit,country_code,country,interval,utc_offset,med_frq
0,Discharge.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Discharge,2011-06-03 17:00:00+00:00,7087.36,Mekong,11.5388,104.972,m^3/s,KH,Cambodia,Unknown,7,9 days
1,Discharge.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Discharge,2011-06-19 17:00:00+00:00,9775.8,Mekong,11.5388,104.972,m^3/s,KH,Cambodia,Unknown,7,9 days
2,Discharge.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Discharge,2011-07-09 17:00:00+00:00,17300.96,Mekong,11.5388,104.972,m^3/s,KH,Cambodia,Unknown,7,9 days
3,Discharge.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Discharge,2011-07-14 17:00:00+00:00,16182.21,Mekong,11.5388,104.972,m^3/s,KH,Cambodia,Unknown,7,9 days
4,Discharge.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Discharge,2011-07-20 17:00:00+00:00,17737.0,Mekong,11.5388,104.972,m^3/s,KH,Cambodia,Unknown,7,9 days
5,Discharge.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Discharge,2011-07-27 17:00:00+00:00,20596.61,Mekong,11.5388,104.972,m^3/s,KH,Cambodia,Unknown,7,9 days
6,Discharge.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Discharge,2011-08-04 17:00:00+00:00,22601.02,Mekong,11.5388,104.972,m^3/s,KH,Cambodia,Unknown,7,9 days
7,Discharge.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Discharge,2011-08-13 17:00:00+00:00,28004.38,Mekong,11.5388,104.972,m^3/s,KH,Cambodia,Unknown,7,9 days
8,Discharge.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Discharge,2011-08-19 17:00:00+00:00,26924.65,Mekong,11.5388,104.972,m^3/s,KH,Cambodia,Unknown,7,9 days
9,Discharge.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Discharge,2011-08-26 17:00:00+00:00,26369.27,Mekong,11.5388,104.972,m^3/s,KH,Cambodia,Unknown,7,9 days
10,Discharge.Measured DSMP@KH_KNR_[Koh Norea],KNR,Koh Norea,Discharge,2011-09-01 17:00:00+00:00,26029.0,Mekong,11.5388,104.972,m^3/s,KH,Cambodia,Unknown,7,9 days
