,identifier,station_code,station_name,parameter,date,value,river,lat,lon,unit,country_code,country,interval,utc_offset,med_frq
0,Sediment Concentration.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Sediment Concentration,2011-06-01 17:00:00+00:00,44.0,Bassac,11.5631,104.9347,mg/l,KH,Cambodia,Unknown,7,9 days
1,Sediment Concentration.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Sediment Concentration,2011-06-19 17:00:00+00:00,102.0,Bassac,11.5631,104.9347,mg/l,KH,Cambodia,Unknown,7,9 days
2,Sediment Concentration.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Sediment Concentration,2011-07-09 17:00:00+00:00,334.0,Bassac,11.5631,104.9347,mg/l,KH,Cambodia,Unknown,7,9 days
3,Sediment Concentration.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Sediment Concentration,2011-07-14 17:00:00+00:00,224.0,Bassac,11.5631,104.9347,mg/l,KH,Cambodia,Unknown,7,9 days
4,Sediment Concentration.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Sediment Concentration,2011-07-20 17:00:00+00:00,249.0,Bassac,11.5631,104.9347,mg/l,KH,Cambodia,Unknown,7,9 days
5,Sediment Concentration.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Sediment Concentration,2011-07-27 17:00:00+00:00,294.0,Bassac,11.5631,104.9347,mg/l,KH,Cambodia,Unknown,7,9 days
6,Sediment Concentration.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Sediment Concentration,2011-08-04 17:00:00+00:00,395.0,Bassac,11.5631,104.9347,mg/l,KH,Cambodia,Unknown,7,9 days
7,Sediment Concentration.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Sediment Concentration,2011-08-13 17:00:00+00:00,461.0,Bassac,11.5631,104.9347,mg/l,KH,Cambodia,Unknown,7,9 days
8,Sediment Concentration.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Sediment Concentration,2011-08-19 17:00:00+00:00,347.0,Bassac,11.5631,104.9347,mg/l,KH,Cambodia,Unknown,7,9 days
9,Sediment Concentration.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Sediment Concentration,2011-08-26 17:00:00+00:00,291.0,Bassac,11.5631,104.9347,mg/l,KH,Cambodia,Unknown,7,9 days
10,Sediment Concentration.Measured DSMP@KH_OSP_[OSP-MRC],OSP,OSP-MRC,Sediment Concentration,2011-09-01 17:00:00+00:00,247.0,Bassac,11.5631,104.9347,mg/l,KH,Cambodia,Unknown,7,9 days
