,identifier,station_code,station_name,parameter,date,value,river,lat,lon,unit,country_code,country,interval,utc_offset,med_frq
0,Discharge.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Discharge,2012-08-10 17:00:00+00:00,5952.0,Sekong,13.5318,105.9719,m^3/s,KH,Cambodia,Unknown,7,9 days 12:00:00
1,Discharge.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Discharge,2012-08-16 17:00:00+00:00,3880.0,Sekong,13.5318,105.9719,m^3/s,KH,Cambodia,Unknown,7,9 days 12:00:00
2,Discharge.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Discharge,2012-08-22 17:00:00+00:00,3935.0,Sekong,13.5318,105.9719,m^3/s,KH,Cambodia,Unknown,7,9 days 12:00:00
3,Discharge.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Discharge,2012-08-29 17:00:00+00:00,7615.0,Sekong,13.5318,105.9719,m^3/s,KH,Cambodia,Unknown,7,9 days 12:00:00
4,Discharge.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Discharge,2012-08-31 17:00:00+00:00,5966.0,Sekong,13.5318,105.9719,m^3/s,KH,Cambodia,Unknown,7,9 days 12:00:00
5,Discharge.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Discharge,2012-09-12 17:00:00+00:00,6652.0,Sekong,13.5318,105.9719,m^3/s,KH,Cambodia,Unknown,7,9 days 12:00:00
6,Discharge.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Discharge,2012-09-19 17:00:00+00:00,6301.0,Sekong,13.5318,105.9719,m^3/s,KH,Cambodia,Unknown,7,9 days 12:00:00
7,Discharge.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Discharge,2012-09-28 17:00:00+00:00,7476.0,Sekong,13.5318,105.9719,m^3/s,KH,Cambodia,Unknown,7,9 days 12:00:00
8,Discharge.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Discharge,2012-10-09 17:00:00+00:00,8651.0,Sekong,13.5318,105.9719,m^3/s,KH,Cambodia,Unknown,7,9 days 12:00:00
9,Discharge.Measured DSMP@KH_SKB_[Sekong Bridge],SKB,Sekong Bridge,Discharge,2012-10-20 17:00:00+00:00,2806.0,Sekong,13.5318,105.9719,m^3/s,KH,Cambodia,Unknown,7,9 days 12:00:00
