"Gewässer","","'=","Donau 8427",""
"Messstelle","","'=","Immendingen CQQ105 2187",""
"","","'=","Ulm-Wiblingen CQQ803 2198",""
"Parameter","","'=","4 T Temperatur Grad Celsius",""
"Zeitraum","","'=","Tue Dec 01 00:00:00 CET 2015 Sat Aug 31 23:59:59 CEST 2024",""


"Gewässer","GCODE","Messstelle","Ost","Nord","Parameter","Datum","Tagesmittelwert","Dimension"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","01.12.2015","5,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","02.12.2015","6,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","03.12.2015","6,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","04.12.2015","5,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","05.12.2015","4,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","06.12.2015","5,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","07.12.2015","5,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","08.12.2015","5,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","09.12.2015","5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","10.12.2015","4,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","11.12.2015","3,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","12.12.2015","3,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","13.12.2015","3,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","14.12.2015","3,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","15.12.2015","3,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","16.12.2015","3,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","17.12.2015","4,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","18.12.2015","5,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","19.12.2015","5,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","20.12.2015","5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","21.12.2015","4,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","22.12.2015","4,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","23.12.2015","4,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","24.12.2015","4,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","25.12.2015","4,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","26.12.2015","4,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","27.12.2015","3,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","28.12.2015","3,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","29.12.2015","2,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","30.12.2015","2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","31.12.2015","2,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","01.01.2016","2,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","02.01.2016","3,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","03.01.2016","3,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","04.01.2016","3,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","05.01.2016","3,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","06.01.2016","3,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","07.01.2016","3,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","08.01.2016","3,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","09.01.2016","3,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","10.01.2016","4,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","11.01.2016","4,2","°C"
