"Gewässer","","'=","Rhein 6187",""
"Messstelle","","'=","Iffezheim CXX334 2838",""
"","","'=","Karlsruhe CXX359 2839",""
"","","'=","Rheinfelden CXX147 2827",""
"Parameter","","'=","4 T Temperatur Grad Celsius",""
"Zeitraum","","'=","Thu Jan 01 00:00:00 CET 1970 Tue Apr 30 23:59:59 CEST 2024",""


"Gewässer","GCODE","Messstelle","Ost","Nord","Parameter","Datum","Tagesmittelwert","Dimension"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","01.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","02.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","03.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","04.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","05.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","06.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","07.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","08.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","09.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","10.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","11.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","12.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","13.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","14.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","15.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","16.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","17.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","18.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","19.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","20.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","21.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","22.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","23.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","24.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","25.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","26.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","27.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","28.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","29.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","30.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","31.08.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","01.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","02.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","03.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","04.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","05.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","06.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","07.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","08.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","09.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","10.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","11.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","12.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","13.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","14.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","15.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","16.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","17.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","18.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","19.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","20.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","21.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","22.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","23.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","24.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","25.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","26.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","27.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","28.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","29.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","30.09.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","01.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","02.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","03.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","04.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","05.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","06.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","07.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","08.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","09.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","10.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","11.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","12.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","13.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","14.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","15.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","16.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","17.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","18.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","19.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","20.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","21.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","22.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","23.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","24.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","25.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","26.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","27.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","28.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","29.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","30.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","31.10.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","01.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","02.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","03.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","04.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","05.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","06.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","07.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","08.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","09.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","10.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","11.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","12.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","13.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","14.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","15.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","16.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","17.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","18.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","19.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","20.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","21.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","22.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","23.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","24.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","25.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","26.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","27.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","28.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","29.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","30.11.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","01.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","02.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","03.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","04.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","05.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","06.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","07.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","08.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","09.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","10.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","11.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","12.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","13.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","14.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","15.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","16.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","17.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","18.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","19.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","20.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","21.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","22.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","23.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","24.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","25.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","26.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","27.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","28.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","29.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","30.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","31.12.1975",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","01.01.1976",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","02.01.1976",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","03.01.1976",,"°C"
"Rhein","CXX334","Iffezheim","434781","5409118","Temperatur","04.01.1976",,"°C"
