station_latitude;station_longitude;station_name;station_no;catchment_no;catchment_name;river_name;station_diary;LANUV_Eindat;CATCHMENT_SIZE;LANUV_BezReg;LHP_ANZEIGE;LANUV_Info_1;LANUV_Info_2;LANUV_Info_3;POS_AT_WTO;station_dist_to_conf;LANUV_Kat;BODY_RESPONSIBLE;INTERNET_AKTIV;LANUV_MW;ngr_letter;LHP_APP_NOTIFY;admin_level;river_code;LHP_BEREITSTELLER;region_district;LANUV_MSTNAME_alt;catchment_size;WEB_STATYPE;LANUV_MHW;INTERNET_DOWNLOAD;LANUV_MNW;WTO_OBJECT;DIST_TO_CONFL;LANUV_MSTNR_alt;LHP_KEIN_EXP_EXTERN;river_key;station_diary_status;station_catchment_area;LANUV_Betr;river_id;admin_name;LHP_URL_BEREITSTELLER;LANUV_TEZG;LANUV_HN7W;ObjectDescription;LANUV_MN7W;LANUV_N7W;LANUV_AQZmstnr;LANUV_AQZname;INTERNET_BEMERKUNG;LANUV_weitererBetreiber;station_status_remark;station_status
50.8956651544937;8.02318000661394;Weidenau2;2721490000100;272;Siegeinzugsgebiet Östlich;Ferndorfbach;;22.08.1990;153,00 km²;Köln;7;110,0;;;Links;132.6;Hochwasserwarndienst/Grundmessstelle;Standort Albaum;yes;53,0;-;kw;Gemeinde;27214;LANUV NRW;---;Weidenau2;613.28;Infopegel;175,0;yes;28,0;Ferndorfbach;0,24 km;2721490000100;EFAS,BBK;27214;;613.28;LANUV NRW;32353;---;https://www.hydrologie.nrw.de/lanuv/;Siegeinzugsgebiet östl.;31,2;;29,3;28,1;;;;;;
51.9110050339911;9.13001082124116;Schieder-Nessenberg;4567000000100;4;Weserzuflüsse;Emmer;;01.11.1980;267,22 km²;Detmold;7;230,0;300,0;370,0;Links;128.0;Hochwasserwarndienst/Grundmessstelle;Standort Minden;yes;87,0;-;kw;Gemeinde;456;LANUV NRW;---;Schieder-Nessenberg;3810.53;Infopegel;253,0;yes;63,0;Emmer;33,41 km;4567000000100;EFAS,BBK;456;;3810.53;LANUV NRW;32332;---;https://www.hydrologie.nrw.de/lanuv/;Weserzuflüsse;63,9;;60,8;58,5;;;;;;
52.0162113796987;8.95963077548362;Vossheide;4621900000100;4;Weserzuflüsse;Bega;;01.11.1962;82,20 km²;;6;;;;Links;30.3;Grundmessstelle;Standort Minden;yes;45,0;-;w;Gemeinde;462;LANUV NRW;---;Vossheide;3810.53;Gewässerkundlicher Pegel;128,0;yes;33,0;Bega;22,44 km;4621900000100;EFAS,BBK;462;;3810.53;LANUV NRW;32349;---;https://www.hydrologie.nrw.de/lanuv/;Weserzuflüsse;41,2;;38,6;36,5;;;;WWV;;
51.1994486957107;6.22985892748387;Pannenmuehle;2847500000100;286;Niers- und Schwalmeinzugsgebiet;Schwalm;;01.11.1930;130,19 km²;;6;;;;Mitte;173.7;Grundmessstelle;Standort Duisburg;yes;40,0;-;w;Gemeinde;284;LANUV NRW;---;Pannenmuehle;1747.67;Gewässerkundlicher Pegel;90,0;yes;25,0;Schwalm;25,57 km;2847500000100;EFAS,BBK;284;;1747.67;LANUV NRW;32339;---;https://www.hydrologie.nrw.de/lanuv/;Niers- und Schwalmeinzugsgebiet;34,5;;28,4;24,7;;;;;;
50.910724904291;7.19317553478006;Hoffnungsthal;2728893000100;272;Siegeinzugsgebiet Westlich;Sülz;;01.06.1949;219,00 km²;Köln;7;240,0;300,0;325,0;Links;7.1;Hochwasserwarndienst/Grundmessstelle;Standort Bonn;yes;74,0;-;kw;Gemeinde;27288;LANUV NRW;---;Hoffnungsthal;1600.73;Infopegel;247,0;yes;43,0;Sülz;8,02 km;2728893000100;EFAS,BBK;27288;;1600.73;LANUV NRW;32429;---;https://www.hydrologie.nrw.de/lanuv/;Siegeinzugsgebiet westl.;46,2;;41,4;37,9;;;;;;
50.9807262498538;6.27489269124098;Linnich;2825330000100;282;Rureinzugsgebiet;Rur;;01.10.1947;1471,75 km²;Köln;6;;;;Mitte;180.2;Grundmessstelle;Standort Eschweiler;yes;109,0;-;w;Gemeinde;282;LANUV NRW;---;Linnich;2229.27;Gewässerkundlicher Pegel;190,0;yes;87,0;Rur;45,12 km;2825330000100;EFAS,BBK;282;;2229.27;LANUV NRW;32338;---;https://www.hydrologie.nrw.de/lanuv/;Rureinzugsgebiet;94,0;;86,0;80,2;;;;;;
50.8149496709664;6.28785217382789;Eschweiler;2824590000400;282;Rureinzugsgebiet;Inde;;01.01.1966;232,15 km²;Köln;7;190,0;230,0;260,0;Links;61.4;Hochwasserwarndienst/Grundmessstelle;Standort Eschweiler;yes;38,0;-;kw;Gemeinde;2824;LANUV NRW;---;Eschweiler;2229.27;Infopegel;188,0;yes;17,0;Inde;12,70 km;2824590000400;EFAS,BBK;2824;;2229.27;LANUV NRW;32396;---;https://www.hydrologie.nrw.de/lanuv/;Rureinzugsgebiet;23,1;;16,6;14,2;;;;;;
51.6739264285511;8.33617608600816;Lippstadt_1;2783970000300;278;Lippeeinzugsgebiet;Lippe;;01.11.1994;1388,53 km²;Arnsberg;7;350,0;392,0;400,0;Mitte;814.4;Hochwasserwarndienst/Grundmessstelle;Standort Lippstadt;yes;106,0;-;kw;Gemeinde;278;LANUV NRW;---;Lippstadt_1;4885.49;Infopegel;332,0;yes;42,0;Lippe;168,28 km;2783970000300;EFAS,BBK;278;;4885.49;LANUV NRW;32313;---;https://www.hydrologie.nrw.de/lanuv/;Lippeeinzugsgebiet;;;;;;;;;;
51.9140446833005;9.1448490812294;Schieder;4568900000100;4;Weserzuflüsse;Niese;;01.11.1980;69,34 km²;;6;;;;Links;33.6;Grundmessstelle;Standort Minden;yes;21,0;-;w;Gemeinde;4568;LANUV NRW;---;Schieder;3810.53;Gewässerkundlicher Pegel;101,0;yes;11,0;Niese;0,51 km;4568900000100;EFAS,BBK;4568;;3810.53;LANUV NRW;32416;---;https://www.hydrologie.nrw.de/lanuv/;Weserzuflüsse;11,4;;10,1;8,8;;;;;;
51.2894596539908;7.67610768919347;Altena;2766930000100;276;Ruhreinzugsgebiet;Lenne;;21.04.1900;1190,00 km²;Arnsberg;7;190,0;235,0;380,0;Rechts;92.7;Hochwasserwarndienst/Grundmessstelle;Standort Hagen;yes;71,0;-;kw;Gemeinde;2766;LANUV NRW;---;Altena;4485.94;Infopegel;265,0;yes;32,0;Lenne;29,70 km;2766930000100;EFAS,BBK;2766;;4485.94;LANUV NRW;32374;---;https://www.hydrologie.nrw.de/lanuv/;Ruhreinzugsgebiet;35,4;;31,0;22,2;;;;;;
51.2238192392183;6.97620867470712;Eigen;2739230000100;2;Rheingraben-Nord;Düssel;;;42,81 km²;;6;;;;Links;730.9;Grundmessstelle;Standort Duisburg;yes;;-;w;Gemeinde;27392;LANUV NRW;---;Eigen;3322.58;Gewässerkundlicher Pegel;;yes;;Düssel;19,21 km;2739230000100;EFAS,BBK;27392;;3322.58;LANUV NRW;32311;---;https://www.hydrologie.nrw.de/lanuv/;Rheingraben-Nord;;;;;;;;;;
51.6703950311639;8.9157816591281;Herbram_W;2782846000100;278;Lippeeinzugsgebiet;Schmittwasser;;30.08.1962;25,07 km²;;6;;;;Rechts;12.5;Grundmessstelle;Standort Bielefeld;yes;22,0;-;w;Gemeinde;2782846;LANUV NRW;---;Herbram_W;4885.49;Gewässerkundlicher Pegel;70,0;yes;17,0;Schmittwasser;3,00 km;2782846000100;EFAS,BBK;2782846;;4885.49;LANUV NRW;32489;---;https://www.hydrologie.nrw.de/lanuv/;Lippeeinzugsgebiet;18,4;;16,6;15,4;;;;;;
51.8839138317328;7.72815742167796;Albersloh;3259000000100;3;Emseinzugsgebiet;Werse;;01.04.1957;321,58 km²;Münster;7;190,0;250,0;300,0;Links;262.2;Hochwasserwarndienst/Grundmessstelle;Standort Münster;yes;84,0;-;kw;Gemeinde;32;LANUV NRW;---;Albersloh;4130.11;Infopegel;225,0;yes;28,0;Werse;27,47 km;3259000000100;EFAS,BBK;32;;4130.11;LANUV NRW;32324;---;https://www.hydrologie.nrw.de/lanuv/;Emseinzugsgebiet;58,7;;38,6;19,9;;;;;;
51.4008768251607;7.34184546590278;Wetter_Wengern_1;2769169000100;276;Ruhreinzugsgebiet;Elbsche;;28.02.2004;17,58 km²;;6;;;;;77.1;Grundmessstelle;Standort Hagen;yes;42,0;-;w;Gemeinde;276916;LANUV NRW;---;Wetter_Wengern_1;4485.94;Gewässerkundlicher Pegel;90,0;yes;31,0;Elbsche;0,48 km;2769169000100;EFAS,BBK;276916;;4485.94;LANUV NRW;32376;---;https://www.hydrologie.nrw.de/lanuv/;Ruhreinzugsgebiet;33,2;;30,5;29,0;;;;;;
51.549498421132;8.56437633569299;Bueren;2782490000200;278;Lippeeinzugsgebiet;Afte;;01.08.1973;170,05 km²;;6;;;;Links;38.9;Grundmessstelle;Standort Bielefeld;yes;26,0;-;w;Gemeinde;27824;LANUV NRW;---;Bueren;4885.49;Gewässerkundlicher Pegel;66,0;yes;16,0;Afte;1,20 km;2782490000200;EFAS,BBK;27824;;4885.49;LANUV NRW;32443;---;https://www.hydrologie.nrw.de/lanuv/;Lippeeinzugsgebiet;17,3;;15,0;13,4;;;;;;
51.8873643834949;8.49961132575918;Verl;3128490000100;3;Emseinzugsgebiet;Ölbach;;;55,56 km²;;6;;;;Rechts;4.5;Grundmessstelle;Standort Bielefeld;yes;29,0;-;w;Gemeinde;31284;LANUV NRW;---;Verl;4130.11;Gewässerkundlicher Pegel;82,0;yes;18,0;Ölbach;12,94 km;3128490000100;EFAS,BBK;31284;;4130.11;LANUV NRW;32458;---;https://www.hydrologie.nrw.de/lanuv/;Emseinzugsgebiet;;;;;;;;;;
51.7448905063406;8.73124289817496;Neuhaus1;2781730000200;278;Lippeeinzugsgebiet;Lippe;;01.04.1970;107,15 km²;;6;;;;Rechts;814.4;Grundmessstelle;Standort Bielefeld;yes;44,0;-;w;Gemeinde;278;LANUV NRW;---;Neuhaus1;4885.49;Gewässerkundlicher Pegel;106,0;yes;26,0;Lippe;204,49 km;2781730000200;EFAS,BBK;278;;4885.49;LANUV NRW;32313;---;https://www.hydrologie.nrw.de/lanuv/;Lippeeinzugsgebiet;;;;;;;;;;
51.9104864767666;8.49673760221447;Avenwedde;3125000000100;3;Emseinzugsgebiet;Dalkebach;;24.07.1938;35,20 km²;;6;;;;Links;318.6;Grundmessstelle;Standort Bielefeld;yes;30,0;-;w;Gemeinde;312;LANUV NRW;---;Avenwedde;4130.11;Gewässerkundlicher Pegel;100,0;yes;20,0;Dalkebach;14,48 km;3125000000100;EFAS,BBK;312;;4130.11;LANUV NRW;32321;---;https://www.hydrologie.nrw.de/lanuv/;Emseinzugsgebiet;;;;;;;;;;
52.4110737484776;8.44402853655572;Niedermehnen;4761270000100;4;Weserzuflüsse;Großer Dieckfluß;;;66,22 km²;;6;;;;Links;48.9;Grundmessstelle;Standort Minden;yes;;-;w;Gemeinde;4762;LANUV NRW;---;Niedermehnen;3810.53;Gewässerkundlicher Pegel;;yes;;Großer Dieckfluß;18,71 km;4761270000100;EFAS,BBK;4762;;3810.53;LANUV NRW;32422;---;https://www.hydrologie.nrw.de/lanuv/;Weserzuflüsse;;;;;;;;;;
51.6633798722122;8.71833696740506;Nordborchen;2782890000100;278;Lippeeinzugsgebiet;Altenau;;01.01.1969;330,49 km²;Detmold;7;175,0;210,0;225,0;Mitte;10.3;Hochwasserwarndienst/Grundmessstelle;Standort Bielefeld;yes;34,0;-;kw;Gemeinde;27828;LANUV NRW;---;Nordborchen;4885.49;Infopegel;137,0;yes;14,0;Altenau;1,00 km;2782890000100;EFAS,BBK;27828;;4885.49;LANUV NRW;32444;---;https://www.hydrologie.nrw.de/lanuv/;Lippeeinzugsgebiet;;;;;;;;;;
51.708441572318;9.32156916330323;Ottbergen;4529500000100;4;Weserzuflüsse;Nethe;;01.11.1932;431,05 km²;Detmold;7;310,0;330,0;350,0;Links;63.8;Hochwasserwarndienst/Grundmessstelle;Standort Minden;yes;122,0;-;kw;Gemeinde;452;LANUV NRW;---;Ottbergen;3810.53;Infopegel;277,0;yes;96,0;Nethe;6,16 km;4529500000100;EFAS,BBK;452;;3810.53;LANUV NRW;32331;---;https://www.hydrologie.nrw.de/lanuv/;Weserzuflüsse;98,7;;94,6;90,8;;;;;;
51.8183168676997;8.53374492555832;Steinhorst;3113000000100;3;Emseinzugsgebiet;Ems;;30.09.1971;98,73 km²;Münster;7;80,0;105,0;;Rechts;0.0;Hochwasserwarndienst/Grundmessstelle;Standort Bielefeld;yes;53,0;-;kw;Gemeinde;3;LANUV NRW;---;Steinhorst;4130.11;Infopegel;96,0;yes;37,0;Ems;348,79 km;3113000000100;EFAS,BBK;3;;4130.11;LANUV NRW;32302;---;https://www.hydrologie.nrw.de/lanuv/;Emseinzugsgebiet;43,5;;38,1;34,4;;;;;;
51.3546157963822;7.12187541284724;Langenberg_2;2769630000200;276;Ruhreinzugsgebiet;Deilbach;;;57,74 km²;;6;;;;Links;37.4;Grundmessstelle;Standort Duisburg;yes;;-;w;Gemeinde;27696;LANUV NRW;---;Langenberg_2;4485.94;Gewässerkundlicher Pegel;;yes;;Deilbach;8,75 km;2769630000200;EFAS,BBK;27696;;4485.94;LANUV NRW;32377;---;https://www.hydrologie.nrw.de/lanuv/;Ruhreinzugsgebiet;;;;;;;;;;
51.469883453743;7.94360016276103;Bachum;2763190000100;276;Ruhreinzugsgebiet;Ruhr;;30.10.1985;1532,02 km²;Arnsberg;7;210,0;400,0;440,0;Links;780.2;Hochwasserwarndienst/Grundmessstelle;Standort Hagen;yes;113,0;-;kw;Gemeinde;276;LANUV NRW;---;Bachum;4485.94;Infopegel;296,0;yes;80,0;Ruhr;133,50 km;2763190000100;EFAS,BBK;276;;4485.94;LANUV NRW;31286;---;https://www.hydrologie.nrw.de/lanuv/;Ruhreinzugsgebiet;86,8;;81,0;75,5;;;;;;
50.7860435774019;7.31994147485701;Broel;2726900000100;272;Siegeinzugsgebiet Westlich;Bröl;;22.11.1949;216,00 km²;;6;;;;;23.6;Grundmessstelle;Standort Bonn;yes;72,0;-;w;Gemeinde;2726;LANUV NRW;---;Broel;1600.73;Gewässerkundlicher Pegel;236,0;yes;46,0;Bröl;1,22 km;2726900000100;EFAS,BBK;2726;;1600.73;LANUV NRW;32359;---;https://www.hydrologie.nrw.de/lanuv/;Siegeinzugsgebiet östl.;54,3;;52,6;48,7;;;;;;
50.9587463066317;7.99515976368044;Kreuztal;2721459000100;272;Siegeinzugsgebiet Östlich;Ferndorfbach;;01.11.1940;63,40 km²;Köln;7;;;;Links;132.6;Grundmessstelle;Standort Albaum;yes;22,0;-;w;Gemeinde;27214;LANUV NRW;---;Kreuztal;613.28;Gewässerkundlicher Pegel;108,0;yes;10,0;Ferndorfbach;9,00 km;2721459000100;EFAS,BBK;27214;;613.28;LANUV NRW;32353;---;https://www.hydrologie.nrw.de/lanuv/;Siegeinzugsgebiet östl.;10,6;;9,8;9,3;;;;;;
51.5420202153962;8.52570135223649;Weine;2782370000100;278;Lippeeinzugsgebiet;Alme;;01.11.1950;143,32 km²;Detmold;7;130,0;210,0;260,0;Mitte;208.7;Hochwasserwarndienst/Grundmessstelle;Standort Bielefeld;yes;62,0;-;kw;Gemeinde;2782;LANUV NRW;---;Weine;4885.49;Infopegel;163,0;yes;46,0;Alme;39,38 km;2782370000100;EFAS,BBK;2782;;4885.49;LANUV NRW;32382;---;https://www.hydrologie.nrw.de/lanuv/;Lippeeinzugsgebiet;;;;;;;;;;
50.8415732337949;7.20133119562605;Lohmar;2728930000200;272;Siegeinzugsgebiet Westlich;Agger;;01.11.1962;1335,11 km²;Köln;7;250,0;390,0;450,0;Rechts;9.7;Hochwasserwarndienst/Grundmessstelle;Standort Bonn;yes;74,0;-;kw;Gemeinde;2728;LANUV NRW;---;Lohmar;1600.73;Infopegel;333,0;yes;29,0;Agger;10,40 km;2728930000200;EFAS,BBK;2728;;1600.73;LANUV NRW;31291;---;https://www.hydrologie.nrw.de/lanuv/;Siegeinzugsgebiet westl.;;;;;;;;;;
