station_no;time;max(cm)
4284170000100;2022-03-08T00:00:00.000+01:00;3.30
4284170000100;2022-03-09T00:00:00.000+01:00;3.40
4284170000100;2022-03-10T00:00:00.000+01:00;3.60
4284170000100;2022-03-11T00:00:00.000+01:00;3.60
4284170000100;2022-03-12T00:00:00.000+01:00;4.00
4284170000100;2022-03-13T00:00:00.000+01:00;4.10
4284170000100;2022-03-14T00:00:00.000+01:00;4.80
4284170000100;2022-03-15T00:00:00.000+01:00;4.80
4284170000100;2022-03-16T00:00:00.000+01:00;5.00
4284170000100;2022-03-17T00:00:00.000+01:00;5.10
4284170000100;2022-03-18T00:00:00.000+01:00;5.00
4284170000100;2022-03-19T00:00:00.000+01:00;4.90
4284170000100;2022-03-20T00:00:00.000+01:00;5.00
4284170000100;2022-03-21T00:00:00.000+01:00;5.40
4284170000100;2022-03-22T00:00:00.000+01:00;5.70
4284170000100;2022-03-23T00:00:00.000+01:00;5.80
4284170000100;2022-03-24T00:00:00.000+01:00;6.00
4284170000100;2022-03-25T00:00:00.000+01:00;6.10
4284170000100;2022-03-26T00:00:00.000+01:00;6.30
4284170000100;2022-03-27T00:00:00.000+01:00;6.80
4284170000100;2022-03-28T00:00:00.000+01:00;7.00
4284170000100;2022-03-29T00:00:00.000+01:00;7.30
4284170000100;2022-03-30T00:00:00.000+01:00;7.30
4284170000100;2022-03-31T00:00:00.000+01:00;7.10
4284170000100;2022-04-01T00:00:00.000+01:00;5.40
4284170000100;2022-04-02T00:00:00.000+01:00;4.50
4284170000100;2022-04-03T00:00:00.000+01:00;4.20
4284170000100;2022-04-04T00:00:00.000+01:00;4.20
4284170000100;2022-04-05T00:00:00.000+01:00;5.40
4284170000100;2022-04-06T00:00:00.000+01:00;5.90
4284170000100;2022-04-07T00:00:00.000+01:00;6.30
4284170000100;2022-04-08T00:00:00.000+01:00;6.00
4284170000100;2022-04-09T00:00:00.000+01:00;5.80
4284170000100;2022-04-10T00:00:00.000+01:00;5.90
4284170000100;2022-04-11T00:00:00.000+01:00;6.30
4284170000100;2022-04-12T00:00:00.000+01:00;7.30
4284170000100;2022-04-13T00:00:00.000+01:00;8.30
4284170000100;2022-04-14T00:00:00.000+01:00;8.60
4284170000100;2022-04-15T00:00:00.000+01:00;8.60
4284170000100;2022-04-16T00:00:00.000+01:00;8.40
4284170000100;2022-04-17T00:00:00.000+01:00;8.10
4284170000100;2022-04-18T00:00:00.000+01:00;8.10
4284170000100;2022-04-19T00:00:00.000+01:00;8.30
4284170000100;2022-04-20T00:00:00.000+01:00;8.30
4284170000100;2022-04-21T00:00:00.000+01:00;8.30
4284170000100;2022-04-22T00:00:00.000+01:00;8.60
4284170000100;2022-04-23T00:00:00.000+01:00;9.00
4284170000100;2022-04-24T00:00:00.000+01:00;9.00
4284170000100;2022-04-25T00:00:00.000+01:00;8.80
4284170000100;2022-04-26T00:00:00.000+01:00;8.70
4284170000100;2022-04-27T00:00:00.000+01:00;8.80
4284170000100;2022-04-28T00:00:00.000+01:00;9.20
4284170000100;2022-04-29T00:00:00.000+01:00;9.20
4284170000100;2022-04-30T00:00:00.000+01:00;9.30
4284170000100;2022-05-01T00:00:00.000+01:00;9.00
4284170000100;2022-05-02T00:00:00.000+01:00;9.70
4284170000100;2022-05-03T00:00:00.000+01:00;10.00
4284170000100;2022-05-04T00:00:00.000+01:00;10.00
4284170000100;2022-05-05T00:00:00.000+01:00;9.80
4284170000100;2022-05-06T00:00:00.000+01:00;10.10
4284170000100;2022-05-07T00:00:00.000+01:00;10.30
4284170000100;2022-05-08T00:00:00.000+01:00;10.80
4284170000100;2022-05-09T00:00:00.000+01:00;11.00
4284170000100;2022-05-10T00:00:00.000+01:00;11.40
4284170000100;2022-05-11T00:00:00.000+01:00;12.30
4284170000100;2022-05-12T00:00:00.000+01:00;12.50
4284170000100;2022-05-13T00:00:00.000+01:00;12.50
4284170000100;2022-05-14T00:00:00.000+01:00;12.00
4284170000100;2022-05-15T00:00:00.000+01:00;12.20
4284170000100;2022-05-16T00:00:00.000+01:00;12.60
4284170000100;2022-05-17T00:00:00.000+01:00;12.80
4284170000100;2022-05-18T00:00:00.000+01:00;13.60
4284170000100;2022-05-19T00:00:00.000+01:00;14.10
4284170000100;2022-05-20T00:00:00.000+01:00;14.10
4284170000100;2022-05-21T00:00:00.000+01:00;14.10
4284170000100;2022-05-22T00:00:00.000+01:00;13.20
4284170000100;2022-05-23T00:00:00.000+01:00;13.00
4284170000100;2022-05-24T00:00:00.000+01:00;13.10
4284170000100;2022-05-25T00:00:00.000+01:00;13.00
4284170000100;2022-05-26T00:00:00.000+01:00;12.70
4284170000100;2022-05-27T00:00:00.000+01:00;12.80
4284170000100;2022-05-28T00:00:00.000+01:00;12.70
4284170000100;2022-05-29T00:00:00.000+01:00;12.10
4284170000100;2022-05-30T00:00:00.000+01:00;11.40
4284170000100;2022-05-31T00:00:00.000+01:00;11.10
4284170000100;2022-06-01T00:00:00.000+01:00;11.40
4284170000100;2022-06-02T00:00:00.000+01:00;11.40
4284170000100;2022-06-03T00:00:00.000+01:00;12.00
4284170000100;2022-06-04T00:00:00.000+01:00;12.80
4284170000100;2022-06-05T00:00:00.000+01:00;12.90
4284170000100;2022-06-06T00:00:00.000+01:00;13.30
4284170000100;2022-06-07T00:00:00.000+01:00;13.30
4284170000100;2022-06-08T00:00:00.000+01:00;13.30
4284170000100;2022-06-09T00:00:00.000+01:00;13.30
4284170000100;2022-06-10T00:00:00.000+01:00;13.30
4284170000100;2022-06-11T00:00:00.000+01:00;13.80
4284170000100;2022-06-12T00:00:00.000+01:00;14.30
4284170000100;2022-06-13T00:00:00.000+01:00;14.30
4284170000100;2022-06-14T00:00:00.000+01:00;13.90
4284170000100;2022-06-15T00:00:00.000+01:00;14.20
4284170000100;2022-06-16T00:00:00.000+01:00;14.60
4284170000100;2022-06-17T00:00:00.000+01:00;14.60
4284170000100;2022-06-18T00:00:00.000+01:00;15.20
4284170000100;2022-06-19T00:00:00.000+01:00;15.80
4284170000100;2022-06-20T00:00:00.000+01:00;15.70
4284170000100;2022-06-21T00:00:00.000+01:00;14.90
4284170000100;2022-06-22T00:00:00.000+01:00;14.90
4284170000100;2022-06-23T00:00:00.000+01:00;15.50
4284170000100;2022-06-24T00:00:00.000+01:00;15.50
4284170000100;2022-06-25T00:00:00.000+01:00;15.70
4284170000100;2022-06-26T00:00:00.000+01:00;15.80
4284170000100;2022-06-27T00:00:00.000+01:00;15.80
4284170000100;2022-06-28T00:00:00.000+01:00;15.70
4284170000100;2022-06-29T00:00:00.000+01:00;15.50
4284170000100;2022-06-30T00:00:00.000+01:00;16.20
4284170000100;2022-07-01T00:00:00.000+01:00;16.20
4284170000100;2022-07-02T00:00:00.000+01:00;15.70
4284170000100;2022-07-03T00:00:00.000+01:00;15.90
4284170000100;2022-07-04T00:00:00.000+01:00;16.10
4284170000100;2022-07-05T00:00:00.000+01:00;16.00
4284170000100;2022-07-06T00:00:00.000+01:00;15.90
4284170000100;2022-07-07T00:00:00.000+01:00;15.30
4284170000100;2022-07-08T00:00:00.000+01:00;15.20
4284170000100;2022-07-09T00:00:00.000+01:00;15.30
4284170000100;2022-07-10T00:00:00.000+01:00;15.20
4284170000100;2022-07-11T00:00:00.000+01:00;14.90
4284170000100;2022-07-12T00:00:00.000+01:00;15.40
4284170000100;2022-07-13T00:00:00.000+01:00;15.90
4284170000100;2022-07-14T00:00:00.000+01:00;16.10
4284170000100;2022-07-15T00:00:00.000+01:00;15.90
4284170000100;2022-07-16T00:00:00.000+01:00;15.40
4284170000100;2022-07-17T00:00:00.000+01:00;15.20
4284170000100;2022-07-18T00:00:00.000+01:00;15.70
4284170000100;2022-07-19T00:00:00.000+01:00;16.40
4284170000100;2022-07-20T00:00:00.000+01:00;17.10
4284170000100;2022-07-21T00:00:00.000+01:00;17.20
4284170000100;2022-07-22T00:00:00.000+01:00;17.00
4284170000100;2022-07-23T00:00:00.000+01:00;16.90
4284170000100;2022-07-24T00:00:00.000+01:00;16.90
4284170000100;2022-07-25T00:00:00.000+01:00;16.90
4284170000100;2022-07-26T00:00:00.000+01:00;16.90
4284170000100;2022-07-27T00:00:00.000+01:00;16.70
4284170000100;2022-07-28T00:00:00.000+01:00;16.10
4284170000100;2022-07-29T00:00:00.000+01:00;15.80
4284170000100;2022-07-30T00:00:00.000+01:00;15.90
4284170000100;2022-07-31T00:00:00.000+01:00;16.00
4284170000100;2022-08-01T00:00:00.000+01:00;16.30
4284170000100;2022-08-02T00:00:00.000+01:00;16.50
4284170000100;2022-08-03T00:00:00.000+01:00;16.90
4284170000100;2022-08-04T00:00:00.000+01:00;17.50
4284170000100;2022-08-05T00:00:00.000+01:00;17.60
4284170000100;2022-08-06T00:00:00.000+01:00;17.40
4284170000100;2022-08-07T00:00:00.000+01:00;16.40
4284170000100;2022-08-08T00:00:00.000+01:00;16.10
4284170000100;2022-08-09T00:00:00.000+01:00;16.30
4284170000100;2022-08-10T00:00:00.000+01:00;16.50
4284170000100;2022-08-11T00:00:00.000+01:00;16.60
4284170000100;2022-08-12T00:00:00.000+01:00;16.70
4284170000100;2022-08-13T00:00:00.000+01:00;16.80
4284170000100;2022-08-14T00:00:00.000+01:00;17.10
