station_no;time;mean(cm)
2783721000100;2022-03-08T00:00:00.000+01:00;7.87
2783721000100;2022-03-09T00:00:00.000+01:00;7.85
2783721000100;2022-03-10T00:00:00.000+01:00;7.85
2783721000100;2022-03-11T00:00:00.000+01:00;7.85
2783721000100;2022-03-12T00:00:00.000+01:00;7.93
2783721000100;2022-03-13T00:00:00.000+01:00;7.95
2783721000100;2022-03-14T00:00:00.000+01:00;8.05
2783721000100;2022-03-15T00:00:00.000+01:00;8.10
2783721000100;2022-03-16T00:00:00.000+01:00;8.13
2783721000100;2022-03-17T00:00:00.000+01:00;8.10
2783721000100;2022-03-18T00:00:00.000+01:00;8.20
2783721000100;2022-03-19T00:00:00.000+01:00;8.19
2783721000100;2022-03-20T00:00:00.000+01:00;8.18
2783721000100;2022-03-21T00:00:00.000+01:00;8.18
2783721000100;2022-03-22T00:00:00.000+01:00;8.26
2783721000100;2022-03-23T00:00:00.000+01:00;8.36
2783721000100;2022-03-24T00:00:00.000+01:00;8.40
2783721000100;2022-03-25T00:00:00.000+01:00;8.46
2783721000100;2022-03-26T00:00:00.000+01:00;8.49
2783721000100;2022-03-27T00:00:00.000+01:00;8.55
2783721000100;2022-03-28T00:00:00.000+01:00;8.73
2783721000100;2022-03-29T00:00:00.000+01:00;8.85
2783721000100;2022-03-30T00:00:00.000+01:00;8.92
2783721000100;2022-03-31T00:00:00.000+01:00;8.82
2783721000100;2022-04-01T00:00:00.000+01:00;8.72
2783721000100;2022-04-02T00:00:00.000+01:00;8.41
2783721000100;2022-04-03T00:00:00.000+01:00;8.05
2783721000100;2022-04-04T00:00:00.000+01:00;7.90
2783721000100;2022-04-05T00:00:00.000+01:00;7.90
2783721000100;2022-04-06T00:00:00.000+01:00;8.03
2783721000100;2022-04-07T00:00:00.000+01:00;8.17
2783721000100;2022-04-08T00:00:00.000+01:00;8.29
2783721000100;2022-04-09T00:00:00.000+01:00;8.34
2783721000100;2022-04-10T00:00:00.000+01:00;8.34
2783721000100;2022-04-11T00:00:00.000+01:00;8.35
2783721000100;2022-04-12T00:00:00.000+01:00;8.38
2783721000100;2022-04-13T00:00:00.000+01:00;8.53
2783721000100;2022-04-14T00:00:00.000+01:00;8.72
2783721000100;2022-04-15T00:00:00.000+01:00;8.92
2783721000100;2022-04-16T00:00:00.000+01:00;9.04
2783721000100;2022-04-17T00:00:00.000+01:00;9.01
2783721000100;2022-04-18T00:00:00.000+01:00;9.02
2783721000100;2022-04-19T00:00:00.000+01:00;9.02
2783721000100;2022-04-20T00:00:00.000+01:00;9.09
2783721000100;2022-04-21T00:00:00.000+01:00;9.14
2783721000100;2022-04-22T00:00:00.000+01:00;9.14
2783721000100;2022-04-23T00:00:00.000+01:00;9.20
2783721000100;2022-04-24T00:00:00.000+01:00;9.27
2783721000100;2022-04-25T00:00:00.000+01:00;9.36
2783721000100;2022-04-26T00:00:00.000+01:00;9.38
2783721000100;2022-04-27T00:00:00.000+01:00;9.33
2783721000100;2022-04-28T00:00:00.000+01:00;9.31
2783721000100;2022-04-29T00:00:00.000+01:00;9.40
2783721000100;2022-04-30T00:00:00.000+01:00;9.47
2783721000100;2022-05-01T00:00:00.000+01:00;9.52
2783721000100;2022-05-02T00:00:00.000+01:00;9.53
2783721000100;2022-05-03T00:00:00.000+01:00;9.56
2783721000100;2022-05-04T00:00:00.000+01:00;9.70
2783721000100;2022-05-05T00:00:00.000+01:00;9.83
2783721000100;2022-05-06T00:00:00.000+01:00;9.93
2783721000100;2022-05-07T00:00:00.000+01:00;10.00
2783721000100;2022-05-08T00:00:00.000+01:00;10.17
2783721000100;2022-05-09T00:00:00.000+01:00;10.31
2783721000100;2022-05-10T00:00:00.000+01:00;10.42
2783721000100;2022-05-11T00:00:00.000+01:00;10.60
2783721000100;2022-05-12T00:00:00.000+01:00;10.82
2783721000100;2022-05-13T00:00:00.000+01:00;11.00
2783721000100;2022-05-14T00:00:00.000+01:00;11.01
2783721000100;2022-05-15T00:00:00.000+01:00;10.93
2783721000100;2022-05-16T00:00:00.000+01:00;10.96
2783721000100;2022-05-17T00:00:00.000+01:00;11.13
2783721000100;2022-05-18T00:00:00.000+01:00;11.26
2783721000100;2022-05-19T00:00:00.000+01:00;11.39
