,river,station_id,name,temperature,dt64,geometry
0,Rhein,CXX334,Iffezheim,4.7,1992-02-25,POINT (8.109691899961788 48.83126839719035)
1,Rhein,CXX334,Iffezheim,4.8,1992-02-26,POINT (8.109691899961788 48.83126839719035)
2,Rhein,CXX334,Iffezheim,5.0,1992-02-27,POINT (8.109691899961788 48.83126839719035)
3,Rhein,CXX334,Iffezheim,5.4,1992-02-28,POINT (8.109691899961788 48.83126839719035)
4,Rhein,CXX334,Iffezheim,5.8,1992-02-29,POINT (8.109691899961788 48.83126839719035)
5,Rhein,CXX334,Iffezheim,6.1,1992-03-01,POINT (8.109691899961788 48.83126839719035)
6,Rhein,CXX334,Iffezheim,6.5,1992-03-02,POINT (8.109691899961788 48.83126839719035)
7,Rhein,CXX334,Iffezheim,6.6,1992-03-03,POINT (8.109691899961788 48.83126839719035)
8,Rhein,CXX334,Iffezheim,6.8,1992-03-04,POINT (8.109691899961788 48.83126839719035)
9,Rhein,CXX334,Iffezheim,7.1,1992-03-05,POINT (8.109691899961788 48.83126839719035)
10,Rhein,CXX334,Iffezheim,7.3,1992-03-06,POINT (8.109691899961788 48.83126839719035)
11,Rhein,CXX334,Iffezheim,8.0,1992-03-09,POINT (8.109691899961788 48.83126839719035)
12,Rhein,CXX334,Iffezheim,7.9,1992-03-10,POINT (8.109691899961788 48.83126839719035)
13,Rhein,CXX334,Iffezheim,8.0,1992-03-11,POINT (8.109691899961788 48.83126839719035)
14,Rhein,CXX334,Iffezheim,7.9,1992-03-12,POINT (8.109691899961788 48.83126839719035)
15,Rhein,CXX334,Iffezheim,7.7,1992-03-13,POINT (8.109691899961788 48.83126839719035)
16,Rhein,CXX334,Iffezheim,7.4,1992-03-16,POINT (8.109691899961788 48.83126839719035)
17,Rhein,CXX334,Iffezheim,7.4,1992-03-17,POINT (8.109691899961788 48.83126839719035)
18,Rhein,CXX334,Iffezheim,7.4,1992-03-18,POINT (8.109691899961788 48.83126839719035)
19,Rhein,CXX334,Iffezheim,7.4,1992-03-19,POINT (8.109691899961788 48.83126839719035)
20,Rhein,CXX334,Iffezheim,7.6,1992-03-20,POINT (8.109691899961788 48.83126839719035)
21,Rhein,CXX334,Iffezheim,7.9,1992-03-21,POINT (8.109691899961788 48.83126839719035)
22,Rhein,CXX334,Iffezheim,7.9,1992-03-22,POINT (8.109691899961788 48.83126839719035)
23,Rhein,CXX334,Iffezheim,7.9,1992-03-23,POINT (8.109691899961788 48.83126839719035)
24,Rhein,CXX334,Iffezheim,7.7,1992-03-24,POINT (8.109691899961788 48.83126839719035)
